VDID,SubAuthorityCode,BiDirectional,PositionLon,PositionLat,RoadName,LocationMile,LinkID,Bearing,RoadDirection,LaneNum,ActualLaneNum
VD-N3-S-15.700-M-LOOP,NFB-NR,0,121.62179,25.036867,國道3號,15K+700,0000300001550A,SW,S,5,5
VD-N2-E-7.900-M-LOOP,NFB-NR,0,121.266,25.0267,國道2號,7K+900,0000200000700H,E,E,4,4
VD-N3-S-152.800-M-RS,NFB-CR,0,120.68301,24.430344,國道3號,152K+800,0000300015200K,S,S,3,3
VD-N1-N-266.672-M-RS,NFB-SR,0,120.379875,23.4759,國道1號,266K+672,0000100126600Q,NE,N,3,3
VD-N1-N-374.270-M-RS,NFB-SR,0,120.3179944,22.5783373,國道1號,374K+270,0000101176090E,NE,N,2,2
VD-N3-N-421.587-M-Loop,NFB-SR,0,120.52326,22.521692,國道3號,421K+587,0000300142100T,N,N,2,2
VD-N1-N-33-I-EN-31-五股,NFB-NR,0,121.43816,25.067636,國道1號,33K+000,0000101115030F,N,N,1,1
VD-N3-N-297-O-SW-22-Loop,NFB-SR,0,120.484898,23.450359,國道3號,297K+000,0000301155020Q,NE,N,1,1
VD-N1-S-214.420-M-RS,NFB-CR,0,120.49818,23.925089,國道1號,214K+420,0000100021400N,S,S,3,3
VD-T76-W-17.800-M-RS,NFB-CR,0,120.526401,23.972241,台76線,17K+800,1007600101700N,W,W,2,2
VD-N3-S-15.540-M-RS,NFB-NR,0,121.62306,25.03867,國道3號,15K+540,0000300001550A,SW,S,5,5
VD-N4-E-15.515-M-RS,NFB-CR,0,120.72904,24.276093,國道4號,15K+515,0000400001500B,E,E,3,3
VD-N1-S-366.400-N-Loop,NFB-SR,0,120.336914,22.643784,國道1號,366K+400,0000100036640E,S,S,4,4
VD-N1-N-205.480-M-LOOP,NFB-CR,0,120.51213,24.00372,國道1號,205K+480,0000100120500N,N,N,4,4
VD-N5-N-38-L-宜蘭-191-2.5-IMAGE,NFB-PL,0,121.77837,24.757284,191,38K+000,4019100100707G,N,N,2,2
VD-N1-N-69-O-SE-21-楊梅,NFB-NR,0,121.16603,24.90853,國道1號,69K+000,0000101125010H,NE,N,1,1
VD-N1-S-51.300-M-RS,NFB-NR,0,121.28221,25.02654,國道1號,51K+300,0000100005100H,SW,S,5,5
VD-N1-S-25.850-M-LOOP,NFB-NR,0,121.5066,25.078184,國道1號,25K+850,0000100002560A,W,S,4,4
VD-N3-S-190.877-M-LOOP,NFB-CR,0,120.51915,24.146515,國道3號,190K+877,0000300019000N,S,S,4,4
VD-N3-N-35.300-M-RS,NFB-NR,0,121.49,24.9868,國道3號,35K+300,0000300103520F,SE,N,3,3
VD-N3-N-413.135-M-Loop,NFB-SR,0,120.524722,22.589444,國道3號,413K+135,0000300141300T,N,N,2,2
VD-N1-N-13.840-M-LOOP,NFB-NR,0,121.62283,25.066416,國道1號,13K+840,0000100101300F,E,N,4,4
VD-N1-N-53.370-M-LOOP,NFB-NR,0,121.265144,25.012217,國道1號,53K+370,0000100105300H,NE,N,4,4
VD-N1-N-24.200-M-RS,NFB-NR,0,121.52255,25.07602,國道1號,24K+200,0000100102400A,E,N,4,4
VD-N1-N-311-I-EN-21-Loop,NFB-SR,0,120.2440043,23.11826848,國道1號,311K+000,0000101161040D,N,N,1,1
VD-N3-N-196-I-WN-1X-北上入口2,NFB-CR,0,120.554625,24.10604419,國道3號,196K+000,0000301137010N,NW,N,2,2
VD-N8-W-4.592-M-Loop,NFB-SR,0,120.234444,23.081277,國道8號,4K+592,0000800100700D,W,W,2,2
VD-N10-E-7.080-N-Loop,NFB-SR,0,120.36032,22.705984,國道10號,7K+080,0001000000600E,N,E,3,3
VD-N3-N-319-R-SE-1-Loop,NFB-SR,0,120.397556,23.288417,國道3號,319K+000,0000300132000D,NE,N,1,1
VD-N1H-S-14.490-M-LOOP,NFB-NR,0,121.61636,25.066133,國道1號汐止五股高架道路,14K+490,00001A0001450A,W,S,2,2
VD-N1-S-355.950-N-Loop,NFB-SR,0,120.33436,22.735992,國道1號,355K+950,0000100035540E,S,S,3,3
VD-N1-S-290.820-M-Loop,NFB-SR,0,120.28062,23.291088,國道1號,290K+820,0000100029000D,SW,S,3,3
VD-N3-N-290-I-EN-1-Loop,NFB-SR,0,120.4853006,23.52252443,國道3號,290K+000,0000301154000Q,N,N,1,1
VD-N3-S-271.400-M-Loop,NFB-SR,0,120.57271,23.64595,國道3號,271K+400,0000300027100P,S,S,3,3
VD-N1K-E-0.040-M-RS,NFB-SR,0,120.30373,22.586676,高雄港聯外高架道路,0K+040,6250670300000E,SE,SE,1,1
VD-N1-S-219.550-N-LOOP,NFB-CR,0,120.49069,23.878191,國道1號,219K+550,0000100021960N,S,S,3,3
VD-N3-N-340-I-EN-2-Loop,NFB-SR,0,120.3324688,23.1237105,國道3號,340K+000,0000301161030D,NW,N,1,1
VD-N1-S-311-I-WS-21-Loop,NFB-SR,0,120.2443525,23.11840113,國道1號,311K+000,0000101161030D,NW,N,1,1
VD-N6-W-5-O-ES-1-西向出口-東草屯,NFB-CR,0,120.7163806,24.00702977,國道6號,5K+000,0000601103000M,SE,W,1,1
VD-N3-N-124-I-EN-1X-北上入口2,NFB-CR,0,120.818985,24.63731,國道3號,124K+000,0000301128050K,NE,N,2,2
VD-N1-S-76.300-M-LOOP,NFB-NR,0,121.09922,24.89084,國道1號,76K+300,0000100007600J,SW,S,3,3
VD-N4-E-11-I-NE-22-東向入口-后里,NFB-CR,0,120.6926984,24.27184011,國道4號,11K+000,0000401004060B,SE,E,1,1
VD-N2A-W-1.610-M-RS,NFB-NR,0,121.210089,25.064362,國道2甲,1K+610,0000211102010H,NW,W,3,3
VD-N1-N-59.420-M-RS,NFB-NR,0,121.222,24.9747,國道1號,59K+420,0000100105900H,NE,N,3,3
VD-N6-E-11.100-M-RS,NFB-CR,0,120.766716,23.982342,國道6號,11K+100,0000600001100M,E,E,2,2
VD-N1-N-137.425-M-RS,NFB-CR,0,120.7862,24.4987,國道1號,137K+425,0000100113700K,NE,N,3,3
VD-N3-N-21.730-M-LOOP,NFB-NR,0,121.59335,24.99329,國道3號,21K+730,0000300102160A,N,N,3,3
