,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
0,03F2899N,0000300129000Q,4,120.48633,23.511683,000030,國道3號,0,N,289K+900,竹崎(縣道159線),竹崎(縣道166線)
1,05F0000S,0000501001000A,4,121.62302,25.035183,000050,國道5號,0,S,0K+000,南港系統,石碇
2,03F2306N,0000300123000M,4,120.70283,23.90678,000030,國道3號,0,N,230K+600,南投服務區,南投
3,01F3227N,0000100132300D,4,120.25,23.014172,000010,國道1號,0,N,322K+700,大灣,永康
4,03F1991S,0000300019900N,4,120.57766,24.102808,000030,國道3號,0,S,199K+100,彰化系統,快官
5,03F2415N,0000300124100M,4,120.700005,23.814837,000030,國道3號,0,N,241K+500,竹山,名間
6,03F2306S,0000300023000M,4,120.70283,23.90678,000030,國道3號,0,S,230K+600,南投,南投服務區
7,03F2415S,0000300024100M,4,120.700005,23.814837,000030,國道3號,0,S,241K+500,名間,竹山
8,01F3227S,0000100032300D,4,120.25,23.014172,000010,國道1號,0,S,322K+700,永康,大灣
9,03F0846N,0000300108400J,4,121.126,24.79144,000030,國道3號,0,N,84K+600,竹林,關西
10,03F0006S,0000300000070C,4,121.70891,25.137106,000030,國道3號,0,S,0K+600,基金,瑪東系統
11,03F0846S,0000300008400J,4,121.126,24.79144,000030,國道3號,0,S,84K+600,關西,竹林
12,03F2899S,0000300029000Q,4,120.48633,23.511683,000030,國道3號,0,S,289K+900,竹崎(縣道166線),竹崎(縣道159線)
13,01F0532S,0000100005310H,4,121.2662,25.012943,000010,國道1號,0,S,53K+200,機場系統,中壢服務區
14,01F0980S,0000100009800J,4,120.99886,24.763586,000010,國道1號,0,S,98K+000,新竹(科學園區),新竹系統
15,01F1906N,0000100119050B,4,120.56813,24.113571,000010,國道1號,0,N,190K+600,彰化系統,王田
16,01F0750S,0000100007400H,4,121.11173,24.893436,000010,國道1號,0,S,75K+000,校前路,湖口
17,01F0750N,0000100107400H,4,121.11173,24.893436,000010,國道1號,0,N,75K+000,湖口,校前路
18,01F0532N,0000100105300H,4,121.2662,25.012943,000010,國道1號,0,N,53K+200,中壢服務區,機場系統
19,01H0208N,00001A0102080A,4,121.555016,25.072262,00001A,國道1號汐止五股高架道路,0,N,20K+800,環北,下塔悠出口匝道
20,03F0116N,0000300101150F,4,121.64347,25.06561,000030,國道3號,0,N,11K+600,新台五路,汐止系統
21,03F2709S,0000300027100P,4,120.57295,23.649141,000030,國道3號,0,S,270K+900,古坑(文化路)&古坑系統,古坑(朝陽路)
22,03A0041S,0000310000410A,4,121.58604,25.003864,000031,國道3甲,0,S,4K+100,萬芳,木柵
23,03F2535N,0000300125300P,4,120.6259,23.775581,000030,國道3號,0,N,253K+500,斗六,南雲
24,03F2777N,0000300127800P,4,120.53251,23.606792,000030,國道3號,0,N,277K+700,梅山,古坑服務區
25,01H0206S,00001A0002000A,4,121.55774,25.07275,00001A,國道1號汐止五股高架道路,0,S,20K+600,堤頂,環北
26,01F3686S,0000100036900E,4,120.33665,22.61912,000010,國道1號,0,S,368K+600,高雄(中正、三多路),瑞隆路出口匝道
27,03F0201S,0000300001990F,4,121.59598,25.007437,000030,國道3號,0,S,20K+100,南港系統,木柵
28,03F2777S,0000300027800P,4,120.53251,23.606792,000030,國道3號,0,S,277K+700,古坑服務區,梅山
29,03F2535S,0000300025300P,4,120.6259,23.775581,000030,國道3號,0,S,253K+500,南雲,斗六
30,01F1906S,0000100019060B,4,120.56813,24.113571,000010,國道1號,0,S,190K+600,王田,彰化系統
31,01F3185N,0000100131840D,4,120.25302,23.051311,000010,國道1號,0,N,318K+500,永康,臺南系統
32,03F0201N,0000300102000F,4,121.59638,25.007376,000030,國道3號,0,N,20K+100,木柵,南港系統&南深路出口匝道
33,03F0116S,0000300001160F,4,121.64347,25.06561,000030,國道3號,0,S,11K+600,汐止系統,新台五路
34,03A0041N,0000310100410A,4,121.58604,25.003864,000031,國道3甲,0,N,4K+100,木柵,萬芳
35,01F0664S,0000100006600H,4,121.17692,24.929544,000010,國道1號,0,S,66K+400,平鎮系統,幼獅
36,01F2603S,0000100026000Q,4,120.40559,23.52674,000010,國道1號,0,S,260K+300,民雄,嘉義
37,01F3185S,0000100031900D,4,120.25302,23.051311,000010,國道1號,0,S,318K+500,臺南系統,永康
38,03F4018S,0000300040200T,4,120.56309,22.682775,000030,國道3號,0,S,401K+800,長治,麟洛
39,01F2930S,0000100029300D,4,120.26577,23.272589,000010,國道1號,0,S,293K+000,新營,下營系統
40,01F2603N,0000100126000Q,4,120.40559,23.52674,000010,國道1號,0,N,260K+300,嘉義,民雄
41,03F0087S,0000300000870F,4,121.65356,25.089994,000030,國道3號,0,S,8K+700,瑪東系統,汐止系統
42,03F3854N,0000300138600E,4,120.44184,22.769197,000030,國道3號,0,N,385K+400,九如,燕巢系統
43,03F1992N,0000300119900N,4,120.57875,24.102526,000030,國道3號,0,N,199K+200,快官,彰化系統
